"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SFXN3__64",0.12361556236517,24.7641962777835,0.316663396688762,0.7554404708535,0.859943791970096,-7.05666811892752
"CSTF1__1380",0.12564434705353,23.5694633587226,0.316304276395746,0.755708180822206,0.859943791970096,-7.05678710015373
"RPL17;RPL17-C18orf32__30",-0.0234539827896221,28.8107082890984,-0.312220785271223,0.758754508074078,0.862959435292606,-7.05813063115559
"EPRS__707",0.0230639204253897,26.755456602067,0.309731259273588,0.760613733547203,0.864324954029309,-7.05894125770732
"ATP6V1B2__873",0.0298360866650853,26.0783984192564,0.309550451605065,0.760748823174557,0.864324954029309,-7.05899988152024
"PPP6C__447",-0.144608934921195,24.0024716885926,-0.308306146916497,0.761678715699883,0.864930262145123,-7.05940240841356
"PRPF4__494",0.0305703070184151,24.9729555488834,0.306040673226709,0.763372712038891,0.866402171350029,-7.06013116309276
"UBE2V1;TMEM189-UBE2V1__1443",0.018199355111264,27.1624166422592,0.305124707515529,0.764057972798219,0.866728262892979,-7.06042430114244
"RPL4__1010",-0.0270355670984905,28.9629888865661,-0.303722290820442,0.765107552875275,0.867467074524909,-7.0608714354117
"GLG1__1768",0.0495419816319327,24.9286712834364,0.302880889836706,0.76573749062382,0.867729580946244,-7.06113872266561
"DDX3X;DDX3Y__93",0.0327973648869495,27.1098896836871,0.298384203892925,0.769106916423008,0.870663507081017,-7.06255474833054
"H2AFV;H2AFZ__744",-0.0673881903893125,29.1241618470465,-0.298358656260675,0.7691260732892,0.870663507081017,-7.06256273353456
"ATAD3A__2007",0.0197092926308713,25.2862417912357,0.297690550245518,0.769627106539756,0.870778097684981,-7.06277131755405
"RPL34__1094",-0.0286719974726211,27.9949639732569,-0.296253615025463,0.770705064272005,0.871544979223482,-7.06321836407036
"RPS15A__1259",-0.0310966983931884,28.2260580568883,-0.295375994391836,0.771363674524382,0.871837095544424,-7.06349034883842
"HSPE1-MOB4__2177",-0.106168414902864,23.6327908021395,-0.294440860265036,0.772065643923692,0.872177890283092,-7.06377927904348
